input_size,distribution,k,deterministic_time_seconds,randomized_time_seconds
100,random,50,5.12000173330307e-05,2.884003333747387e-05
100,sorted,50,6.504000630229712e-05,5.808002315461635e-05
100,reverse_sorted,50,6.933999247848988e-05,6.338004022836685e-05
500,random,250,0.000499320006929338,0.0002402199897915125
500,sorted,250,0.0001968800323083997,0.00015442001167684794
500,reverse_sorted,250,0.00018314002081751824,0.00020157999824732542
1000,random,500,0.0006962999701499939,0.0005172400269657373
1000,sorted,500,0.004129399987868964,0.0004449999891221523
1000,reverse_sorted,500,0.0006183600286021829,0.0006083999527618289
2500,random,1250,0.001655459962785244,0.0010630600387230515
2500,sorted,1250,0.0009210999822244048,0.0006285400129854679
2500,reverse_sorted,1250,0.0011818400118499995,0.001415560021996498
5000,random,2500,0.0021355000091716645,0.001199559960514307
5000,sorted,2500,0.02036055999342352,0.0009996400214731694
5000,reverse_sorted,2500,0.0013339400524273516,0.0008766399929299951
